"ccode","year","revstate","fatality","hostlev"
"alg",1868,0,0,0
"alg",1869,0,0,0
"alg",1870,0,0,0
"alg",1871,0,0,0
"alg",1872,0,0,0
"alg",1873,0,0,0
"alg",1874,0,0,0
"alg",1875,0,0,0
"alg",1876,0,0,0
"alg",1877,0,0,0
"alg",1878,0,0,0
"alg",1879,0,0,0
"alg",1880,0,0,0
"alg",1881,0,0,0
"alg",1882,0,0,0
"alg",1883,0,0,0
"alg",1884,0,0,0
"alg",1885,0,0,0
"alg",1886,0,0,0
"alg",1887,0,0,0
"alg",1888,0,0,0
"alg",1889,0,0,0
"alg",1890,0,0,0
"alg",1891,0,0,0
"alg",1892,0,0,0
"alg",1893,0,0,0
"alg",1894,0,0,0
"alg",1895,0,0,0
"alg",1896,0,0,0
"alg",1897,0,0,0
"alg",1898,0,0,0
"alg",1899,0,0,0
"alg",1900,0,0,0
"alg",1901,0,0,0
"alg",1902,0,0,0
"alg",1903,0,0,0
"alg",1904,0,0,0
"alg",1905,0,0,0
"alg",1906,0,0,0
"alg",1907,0,0,0
"alg",1908,0,0,0
"alg",1909,0,0,0
"alg",1910,0,0,0
"alg",1911,0,0,0
"alg",1912,0,0,0
"alg",1913,0,0,0
"alg",1914,0,0,0
"alg",1915,0,0,0
"alg",1916,0,0,0
"alg",1917,0,0,0
"alg",1918,0,0,0
"alg",1919,0,0,0
"alg",1920,0,0,0
"alg",1921,0,0,0
"alg",1922,0,0,0
"alg",1923,0,0,0
"alg",1924,0,0,0
"alg",1925,0,0,0
"alg",1926,0,0,0
"alg",1927,0,0,0
"alg",1928,0,0,0
"alg",1929,0,0,0
"alg",1930,0,0,0
"alg",1931,0,0,0
"alg",1932,0,0,0
"alg",1933,0,0,0
"alg",1934,0,0,0
"alg",1935,0,0,0
"alg",1936,0,0,0
"alg",1937,0,0,0
"alg",1938,0,0,0
"alg",1939,0,0,0
"alg",1940,0,0,0
"alg",1941,0,0,0
"alg",1942,0,0,0
"alg",1943,0,0,0
"alg",1944,0,0,0
"alg",1945,0,0,0
"alg",1946,0,0,0
"alg",1947,0,0,0
"alg",1948,0,0,0
"alg",1949,0,0,0
"alg",1950,0,0,0
"alg",1951,0,0,0
"alg",1952,0,0,0
"alg",1953,0,0,0
"alg",1954,0,0,0
"alg",1955,0,0,0
"alg",1956,0,0,0
"alg",1957,0,0,0
"alg",1958,0,0,0
"alg",1959,0,0,0
"alg",1960,0,0,0
"alg",1961,0,0,0
"alg",1962,0,2,4
"alg",1963,0,3,4
"alg",1964,0,0,0
"alg",1965,0,0,0
"alg",1966,0,0,0
"alg",1967,0,0,0
"alg",1968,1,0,4
"alg",1969,0,0,0
