"ccode","country","year","vfi"
"kor","korea, rep.",2013,0.520113527774811
"kor","korea, rep.",2014,0.4749656021595
"kor","korea, rep.",2015,0.455936521291733
"kor","korea, rep.",2016,0.47875589132309
"kor","korea, rep.",2017,0.482484370470047
"kor","korea, rep.",2018,0.537024974822998
"kor","korea, rep.",2019,0.560892581939697
"kor","korea, rep.",2020,0.605017244815826
"lva","latvia",1995,0.0183869618922472
"lva","latvia",1996,-0.0211020316928625
"lva","latvia",1997,0.327240854501724
"lva","latvia",1998,0.255498379468918
"lva","latvia",1999,0.31910052895546
"lva","latvia",2000,0.301784306764603
"lva","latvia",2001,0.345086842775345
"lva","latvia",2002,0.365460008382797
"lva","latvia",2003,0.319013297557831
"lva","latvia",2004,0.32142835855484
"lva","latvia",2005,0.284379363059998
"lva","latvia",2006,0.303404003381729
"lva","latvia",2007,0.391467124223709
"lva","latvia",2008,0.417180895805359
"lva","latvia",2009,0.471540093421936
"lva","latvia",2010,0.406653344631195
"lva","latvia",2011,0.377577364444733
"lva","latvia",2012,0.346435010433197
"lva","latvia",2013,0.343022435903549
"lva","latvia",2014,0.332735985517502
"lva","latvia",2015,0.281306326389313
"lva","latvia",2016,0.267105787992477
"lva","latvia",2017,0.306094825267792
"lva","latvia",2018,0.360536754131317
"lva","latvia",2019,0.333300411701202
"lva","latvia",2020,0.419982254505157
"mda","moldova",2003,0.267555385828018
"mda","moldova",2004,0.295206129550934
"mda","moldova",2005,0.428085774183273
"mda","moldova",2006,0.46946993470192
"mda","moldova",2007,0.452030599117279
"mda","moldova",2008,0.550056338310242
"mda","moldova",2009,0.587862133979797
"mda","moldova",2010,0.613462448120117
"mda","moldova",2011,0.597750902175903
"mda","moldova",2012,0.495565861463547
"mda","moldova",2013,0.462999701499939
"mda","moldova",2014,0.655128419399261
"mda","moldova",2015,0.709285140037537
