"country_name","country_code","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031"
"austria","aut",10673.228,9229.942,9216.949,9365.702,8834.022,9041.048,12815.58,16004.95,17536.325,17451.786,21707.996,22498.089,24931.218,24020.491,25584.781,30184.445,29657.412,26603.585,27249.493,27105.607,24498.114,24430.662,26315.717,32114.633,36608.939,38190.312,40387.725,46630.129,51575.468,47816.021,46662.235,51126.851,48302.044,50321.474,51342.747,43986.748,45032.903,47055.738,50963.207,50010.449,48764.175,53827.338,52748.753,56763.597,58373.328,63161.353,67761.236,69865.26,71805.443,73928.604,75932.416,77918.133
"azerbaijan, republic of","aze",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.971,174.875,297.162,316.227,411.14,553.468,543.344,576.005,656.386,674.783,760.812,879.863,1039.818,1567.194,2453.261,3813.751,5564.444,4964.696,5880.509,7238.602,7545.553,7926.6,7938.578,5524.527,3897.788,4217.653,4759.796,4841.145,4280.429,5468.269,7831.176,7151.946,7262.047,7321.685,7466.825,7819.567,8202.732,8614.95,9047.118,9507.401
"burundi","bdi",275.808,278.846,286.136,294.34,259.925,293.924,300.784,275.275,250.649,253.013,245.818,246.484,222.235,192.953,186.903,198.418,169.235,186.404,167.996,157.578,152.88,148.152,132.872,119.817,130.188,147.235,161.893,166.163,189.502,198.432,216.728,230.071,231.685,235.232,250.543,281.005,263.329,275.639,256.051,245.544,244.862,258.815,294.422,313.424,344.419,478.15,545.963,590.647,588.049,581.522,563.676,567.563
"belgium","bel",12529.407,10366.157,9128.627,8626.201,8244.885,8568.693,11873.863,14740.526,16008.714,16098.234,20120.031,20563.827,22823.138,21723.728,23624.579,28458.604,27535.287,24878.749,25399.222,25309.265,23136.511,23067.163,25044.331,30707.665,35497.552,36945.499,38841.785,44496.791,48493.275,45055.745,44460.655,47915.958,45028.566,47055.739,48129.389,41032.322,41918.104,44110.725,47627.406,46858.358,45933.801,51833.16,50918.392,55482.368,56796.37,61002.007,65111.565,66590.096,68049.946,69840.033,71561.752,73356.536
"benin","ben",596.826,390.177,374.765,321.312,332.274,349.096,435.905,504.489,513.111,462.972,547.118,542.331,584.502,544.807,365.287,480.716,508.653,474.548,495.132,525.652,487.639,492.405,546.078,675.834,758.351,779.869,809.19,912.446,1060.486,1022.991,974.039,1059.227,1072.204,1168.944,1204.71,1002.52,1010.255,1060.339,1158.452,1154.817,1199.234,1319.528,1267.424,1394.58,1481.855,1633.921,1809.313,1909.026,2010.076,2117.63,2222.625,2335.392
"burkina faso","bfa",337.782,287.062,260.938,232.535,202.593,218.262,278.32,315.155,338.675,329.745,380.82,375.312,392.061,364.528,213.778,257.658,273,251.766,280.646,292.729,248.289,259.487,285.452,362.283,403.63,441.408,455.538,514.745,619.37,600.916,625.468,724.897,731.933,759.773,765.059,630.189,663.531,708.45,778.742,767.675,830.473,896.006,829.108,873.612,981.971,1126.369,1319.086,1429.631,1493.276,1561.093,1631.859,1704.538
"bangladesh","bgd",311.093,322.318,294.02,277.489,303.3,317.511,318.062,339.17,355.592,378.07,398.05,402.354,400.912,395.867,411.91,450.133,471.268,479.354,488.077,491.461,483.217,480.724,490.919,532.343,563.21,572.014,610.469,668.54,760.65,841.252,935.755,1032.313,1057.884,1176.16,1340.289,1495.538,1679.021,1839.755,1991.739,2154.227,2270.348,2497.741,2730.846,2651.738,2618.677,2635.632,2911.273,3048.179,3214.217,3450.736,3724.575,4038.693
"bulgaria","bgr",4286.208,4609.425,4793.654,4913.837,5210.541,4458.09,3946.884,4581.215,7506.637,7678.815,3407.069,336.65,1380.594,758.059,1348.67,2284.823,1494.786,1386.465,1854.468,1693.32,1630.461,1798.199,2097.856,2715.498,3374.803,3876.778,4481.825,5823.997,7200.886,6892.389,6769.258,7878.437,7457.235,7708.802,7938.159,7103.603,7596.346,8409.665,9451.816,9855.906,10206.626,12346.576,14069.465,15861.735,17610.302,20920.692,23848.457,25714.813,27865.323,29637.35,31638.977,33624.856
"bahrain, kingdom of","bhr",10622.619,11531.448,11698.565,11590.104,11637.826,10615.067,8022.838,8391.422,10010.86,10078.887,10612.215,10688.039,10984.585,11770.05,12277.54,12659.112,12821.281,12949.994,12057.467,12729.094,14818.628,14484.805,14075.299,15101.705,16642.427,18729.72,20086.363,21796.88,24289.611,20292.469,21819.329,25032.809,26438.651,26989.76,26451.797,23734.075,23800.001,24784.752,26324.407,27259.726,24342.844,27147.808,30470.504,29290.112,29716.447,29343.67,29569.16,30269.134,30868.936,31644.581,32555.368,33518.663
"bahamas, the","bhs",12291.741,12496.221,13749.496,14961.6,15630.102,16801.08,17854.136,19329.928,19687.5,21818.62,20460.303,19767.715,19417.216,18979.006,19660.918,20271.249,20974.532,21951.756,23300.816,25780.485,26601.368,26971.273,28357.927,27896.338,28056.572,30030.89,30594.671,31498.523,30787.585,28793.341,28725.135,28365.859,29895.418,28918.977,30441.264,32022.083,31811.467,32984.165,33618.059,34455.207,26612.553,30522.745,34801.709,37827.627,38791.831,40005.147,40892.445,41824.66,42829.284,43901.881,44992.684,46472.181
