"ccode","year","HL","F","SELF","G","P","vfi","logG","logP","Fed"
"fra",2014,3,0,21.26,36444.39491,66312067,NA,10.5035429508523,18.0098824446282,0
"gab",1990,0,0,NA,8354.26309,983734,NA,9.03052723725934,13.7991108142867,0
"gab",1991,0,0,NA,8627.389857,1010818,NA,9.0626972883882,13.8262704620147,0
"gab",1992,0,0,NA,8138.868219,1038380,NA,9.00440640989482,13.8531723643459,0
"gab",1993,0,0,NA,8237.743387,1066405,NA,9.01648172459583,13.8798037365078,0
"gab",1994,0,0,NA,8322.610108,1094720,NA,9.02673119952087,13.9060091807714,0
"gab",1995,0,0,NA,8514.940099,1123213,NA,9.04957755830986,13.9317038862608,0
"gab",1996,0,0,NA,8603.008134,1152015,NA,9.05986720410503,13.9570231409865,0
"gab",1997,0,0,NA,8870.125509,1181439,NA,9.09044422503441,13.9822437449915,0
"gab",1998,0,0,NA,8949.121101,1211736,NA,9.09931060544128,14.0075646001026,0
"gab",1999,0,0,NA,7944.645179,1243016,NA,8.98025341831338,14.0330512424937,0
"gab",2000,0,0,NA,7596.099707,1275572,NA,8.93539019809669,14.0589052634224,0
"gab",2001,0,0,NA,7556.769953,1309589,NA,8.93019912298002,14.0852239054925,0
"gab",2002,0,0,NA,7338.756206,1345135,NA,8.90092465302614,14.1120049377284,0
"gab",2003,0,0,NA,7301.671544,1382350,NA,8.89585857955501,14.1392955073963,0
"gab",2004,0,0,NA,7148.987134,1421609,NA,8.87472596607297,14.1672998866973,0
"gab",2005,0,0,NA,7130.225058,1463495,NA,8.87209807784707,14.1963379686409,0
"gab",2006,0,0,NA,6724.08149,1508337,NA,8.81345061372931,14.2265182773843,0
"gab",2007,0,0,NA,6908.673992,1556237,NA,8.84053300138621,14.2577812857466,0
"gab",2008,0,0,NA,6468.385234,1607175,NA,8.774681778911,14.2899885373594,0
"gab",2009,0,0,NA,6264.836115,1661556,NA,8.74270770816919,14.3232650706927,0
"gab",2010,0,0,NA,6481.496121,1719879,NA,8.77670664556734,14.3577644974778,0
"gab",2011,0,0,NA,6699.233946,1781985,NA,8.80974846242424,14.393238469469,0
"gab",2012,0,0,NA,6803.226681,1846889,NA,8.82515229053079,14.4290131599201,0
"gab",2013,0,0,NA,6938.257539,1913059,NA,8.84480594690418,14.4642140895568,0
"gab",2014,0,0,NA,6998.605454,1978399,NA,8.8534661873332,14.4977984897303,0
"gbr",1990,5,1,6.19,30071.20856,57247586,NA,10.311323466728,17.8628960335707,0
"gbr",1991,4.5,0.5,6.19,29590.90541,57424897,NA,10.2952223434391,17.8659885128939,0
"gbr",1992,4,0,6.19,29893.07768,57580402,NA,10.3053822168558,17.8686928247148,0
"gbr",1993,3.5,0,6.19,30862.41181,57718614,NA,10.3372942761362,17.8710902791076,0
"gbr",1994,3.66666666666667,0,7.02,32308.79527,57865745,NA,10.3830947715248,17.8736361439762,0
"gbr",1995,4,0,7,33362.01613,58019030,0.752396941184998,10.4151732901981,17.8762816181448,0
"gbr",1996,4,0,5.82,34147.34591,58166950,0.738346219062805,10.4384401433843,17.878827881987,0
"gbr",1997,5,2,5.4,35721.61059,58316954,0.732374250888824,10.4835111232797,17.8814034152198,0
"gbr",1998,4.5,1,4.88,36773.92878,58487141,0.716814696788788,10.5125444160175,17.8843174760741,0
"gbr",1999,3.25,0.5,9.66,37730.71556,58682466,0.715174615383148,10.5382297780581,17.8876515348959,0
"gbr",2000,2.25,0.5,10.5,39297.13663,58892514,0.720512926578522,10.5789069359155,17.8912245437701,0
