"country","ccode","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"serbia, republic of","srb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.298521161079407,0.3462293446064,0.268327057361603,0.264143139123917,0.269082754850388,0.263012796640396,0.366533428430557,0.362336963415146,0.357161402702332,0.378309965133667,0.423603594303131,0.416163921356201,0.409988880157471,0.453782051801682
"somalia","som",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.271088749170303,0.362058937549591,0.557877838611603,0.532649278640747
"south africa","zaf",NA,NA,NA,NA,NA,NA,0.689513921737671,0.64655464887619,0.678689122200012,0.671114027500153,0.661467850208282,0.693877577781677,0.657957673072815,0.681667923927307,0.693352818489075,0.69976007938385,0.693327963352203,0.625416696071625,0.676079869270325,0.623313069343567,0.712405443191528,0.688362538814545,0.694150626659393,0.679549515247345,0.668859660625458,0.663430273532867,0.658453345298767,0.670941293239594,0.679216265678406,0.676157772541046,0.694572806358337
"spain","esp",NA,NA,NA,NA,NA,0.55452436208725,0.55975329875946,0.520066738128662,0.509864926338196,0.526659488677979,0.525263130664825,0.526489496231079,0.491438031196594,0.486909955739975,0.496448010206223,0.472141623497009,0.472575753927231,0.462224632501602,0.448187291622162,0.478335976600647,0.399567395448685,0.281221985816956,0.365646243095398,0.433244407176971,0.416946709156036,0.408493936061859,0.435070365667343,0.446038722991943,0.445666879415512,0.424400895833969,0.490499079227448
"sweden","swe",NA,NA,NA,NA,NA,0.204426616430283,0.16669137775898,0.170769691467285,0.209837481379509,0.20712748169899,0.204490438103676,0.197103708982468,0.193355962634087,0.190171509981155,0.186005294322968,0.206973135471344,0.208727046847343,0.246567383408546,0.254458606243134,0.282648921012878,0.316141933202744,0.307597011327744,0.298486828804016,0.302758008241653,0.314268171787262,0.318363517522812,0.316894739866257,0.329629749059677,0.322737485170364,0.325378775596619,0.369252294301987
"switzerland","che",0.105170741677284,0.108476847410202,0.103548809885979,0.100351005792618,0.11059658229351,0.109211154282093,0.12153384834528,0.125555247068405,0.130997255444527,0.130914479494095,0.13203153014183,0.131771042943001,0.12909346818924,0.127443954348564,0.123772092163563,0.124751731753349,0.130633965134621,0.137638106942177,0.155219599604607,0.153632625937462,0.152877554297447,0.154057413339615,0.150963366031647,0.145131558179855,0.146467193961143,0.149753361940384,0.145750597119331,0.148008793592453,0.148219957947731,0.149182125926018,0.146772816777229
"thailand","tha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.355272352695465,0.531305074691772,0.658163785934448,0.623369157314301,0.639404118061066,0.680758655071259,0.637401163578033,0.62609738111496,0.607959389686584,0.52281641960144,0.493530660867691,0.701853454113007,0.706937849521637,0.677176892757416,0.650115191936493,0.658543825149536,0.636812269687653,0.644733071327209,0.676435887813568,0.663824021816254,0.648436903953552
"tunisia","tun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.66913104057312,0.749441564083099,0.980448186397552,0.98740154504776,NA,NA,NA,NA,NA,NA,NA,NA
"türkiye, republic of","tur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.508279919624329,0.57317316532135,0.634165227413177,0.62596732378006,0.634286284446716,0.592122554779053,0.572036385536194,0.632106840610504,0.568665981292725,0.588476121425629,0.572727978229523,0.639853179454803,0.733683466911316
"uganda","uga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.895574688911438,0.895759463310242,0.917754113674164,0.924608469009399,0.829619824886322,0.953957736492157,0.95867520570755,0.943304359912872,0.973146617412567,0.98218709230423,0.935556948184967,0.960899353027344,0.94313907623291,0.984288454055786,0.979250550270081,1.00470793247223,1.00138819217682,0.981203198432922,0.978451550006866,0.981454849243164
